execution_time,physical_time,fill_rate,perfect_fill,retention_rate,target_size,total_moves,total_time,execution_time_std,physical_time_std,fill_rate_std,perfect_fill_std,retention_rate_std,target_size_std,total_moves_std,total_time_std,lattice_size,lattice_width,lattice_height,occupation_prob,loss_prob,strategy
0.011620601018269857,0.02609787878787879,1.0,1.0,0.9195396107160813,413.6666666666667,76.66666666666667,0.03771847980614864,0.001821131776953812,0.0029191761096003296,0.0,0.0,0.02958117819354746,19.327585352432298,5.90668171555645,0.0047350527366605295,30x30,30,30,0.5,0.0,center
0.010316928227742514,0.03863066666666666,1.0,1.0,0.914680408671356,427.3333333333333,80.66666666666667,0.048947594894409176,0.010475178524028697,0.002566251284408665,0.0,0.0,0.015382082417630276,19.327585352432298,4.189935029992178,0.012577498198078482,30x30,30,30,0.5,0.0,corner
0.013515313466389975,0.024676818181818175,1.0,1.0,0.9062029113060187,413.6666666666667,78.33333333333333,0.03819213164820815,0.0008209217661343654,0.001481483883094157,0.0,0.0,0.024923149336900742,19.327585352432298,3.0912061651652345,0.0014292625377900986,30x30,30,30,0.5,0.01,center
0.0026604334513346353,0.03758927272727273,1.0,1.0,0.860413191399107,387.0,78.66666666666667,0.04024970617860737,0.00044195895516366555,0.0027101825815513537,0.0,0.0,0.013558361733312384,18.384776310850235,8.576453553512405,0.0023246239629778,30x30,30,30,0.5,0.01,corner
0.014288107554117838,0.028749181818181813,1.0,1.0,0.871919305251536,387.0,97.66666666666667,0.04303728937229965,0.00166820607301131,0.0018343049531517341,0.0,0.0,0.010685066404161512,18.384776310850235,6.548960901462833,0.0034468908121317978,30x30,30,30,0.5,0.05,center
0.002689917882283529,0.04307666666666667,1.0,1.0,0.8336050088482394,387.0,110.0,0.0457665845489502,0.00015128597688479457,0.0014773643464984952,0.0,0.0,0.021550082601398294,18.384776310850235,3.559026084010437,0.0016159108053599815,30x30,30,30,0.5,0.05,corner
0.013043959935506185,0.024930303030303014,1.0,1.0,0.9336274983647909,514.0,83.33333333333333,0.037974262965809205,0.0006661128187603617,0.002942082688724275,0.0,0.0,0.02161714261813376,21.213203435596427,6.018490028422596,0.0034611754920930923,30x30,30,30,0.6,0.0,center
0.0026259422302246094,0.03294384848484848,1.0,1.0,0.8991155516560143,484.0,75.66666666666667,0.03556979071507309,0.0005891109367733208,0.0012595206931575985,0.0,0.0,0.006330013228587425,0.0,2.0548046676563256,0.0018246346549565893,30x30,30,30,0.6,0.0,corner
0.02202781041463216,0.024613272727272716,1.0,1.0,0.9043877815816669,484.0,86.0,0.04664108314190488,0.006781476362119339,0.0032862875912237784,0.0,0.0,0.015856745816195453,0.0,6.97614984548545,0.007942964740025798,30x30,30,30,0.6,0.01,center
0.002766768137613932,0.038287636363636385,1.0,1.0,0.9170135980304664,499.0,90.66666666666667,0.041054404501250315,9.333233904588763e-05,0.0030315605260559262,0.0,0.0,0.010220718651222977,21.213203435596427,8.259674462242579,0.003093290177209043,30x30,30,30,0.6,0.01,corner
0.018584728240966797,0.032626303030303026,1.0,1.0,0.8513690493834133,455.3333333333333,112.66666666666667,0.05121103127126982,0.004209669079963543,0.0010156216360543383,0.0,0.0,0.030656549351625886,20.27039439401436,7.586537784494029,0.0032054305231003616,30x30,30,30,0.6,0.05,center
0.003111680348714193,0.041392242424242415,1.0,1.0,0.821123251366162,427.3333333333333,118.0,0.04450392277295661,0.0004004304843288681,0.0016490317491866403,0.0,0.0,0.031904756089368054,19.327585352432298,5.354126134736337,0.0014033873882555517,30x30,30,30,0.6,0.05,corner
0.01598501205444336,0.020901909090909086,1.0,1.0,0.9206580154967092,576.0,77.66666666666667,0.03688692114535245,0.0021187630763859016,0.006125575532863449,0.0,0.0,0.022277039894894244,0.0,17.249798710580816,0.007662970473886415,30x30,30,30,0.7,0.0,center
0.0023223559061686196,0.02554842424242425,1.0,1.0,0.9021893563446094,576.0,72.66666666666667,0.027870780148592872,0.00024512138146981765,0.002497196826607235,0.0,0.0,0.01674493035599884,0.0,4.921607686744467,0.0026595902530938942,30x30,30,30,0.7,0.0,corner
0.016435623168945312,0.016782121212121217,1.0,1.0,0.9019446539482217,576.0,70.0,0.033217744381066526,0.00032828867594411284,0.0013929053022010856,0.0,0.0,0.007722923932037401,0.0,4.96655480858378,0.0016803141316104268,30x30,30,30,0.7,0.01,center
0.002437591552734375,0.02596015151515152,1.0,1.0,0.8849223854443687,560.3333333333334,78.33333333333333,0.028397743067885894,0.0003281589604318085,0.0011384970648073063,0.0,0.0,0.0217753317064762,22.15601247717849,4.109609335312651,0.0010873978187205516,30x30,30,30,0.7,0.01,corner
0.021665016810099285,0.021799727272727276,1.0,1.0,0.8601209172489499,544.6666666666666,93.66666666666667,0.04346474408282656,0.0011115958233970126,0.0011079110738946556,0.0,0.0,0.020528406181604095,22.15601247717849,8.73053390247253,0.0022186562631516336,30x30,30,30,0.7,0.05,center
0.0026826858520507812,0.031527393939393945,1.0,1.0,0.841955952124953,529.0,104.66666666666667,0.03421007979144473,0.000355904293486266,0.002850281563911207,0.0,0.0,0.006244108168233772,0.0,5.557777333511022,0.003027416412681556,30x30,30,30,0.7,0.05,corner
0.02065102259318034,0.013420030303030309,1.0,1.0,0.9365947768957442,676.0,67.0,0.034071052896210645,0.0018502670549481709,0.0020134860910249997,0.0,0.0,0.01695100804256869,0.0,5.715476066494082,0.0034071255647853964,30x30,30,30,0.8,0.0,center
