execution_time,physical_time,fill_rate,perfect_fill,retention_rate,target_size,total_moves,total_time,execution_time_std,physical_time_std,fill_rate_std,perfect_fill_std,retention_rate_std,target_size_std,total_moves_std,total_time_std,lattice_size,lattice_width,lattice_height,occupation_prob,loss_prob,strategy
0.000737142562866211,0.0040073818181818165,1.0,1.0,0.8039668643116918,25.0,19.2,0.004744524381048028,0.0002809254622976901,0.0007023659282667988,0.0,0.0,0.09093322741462936,0.0,3.2186953878862163,0.0006979550541310301,10x10,10,10,0.3,0.0,corner
0.0008669853210449219,0.0037437545454545454,1.0,1.0,0.7541161363359639,24.1,18.3,0.004610739866499467,0.00037929282129545134,0.0011079789888585726,0.0,0.0,0.08370151532917691,2.7,5.197114584074513,0.0012196734723656224,10x10,10,10,0.3,0.01,corner
0.004609227180480957,0.004149745454545455,1.0,1.0,0.7612173032087128,23.2,20.2,0.00875897263502641,0.009387264316526945,0.0010863067842103754,0.0,0.0,0.07777425140474431,3.6,6.144916598294887,0.009665244519269886,10x10,10,10,0.3,0.05,corner
0.0006758451461791992,0.0034037545454545454,1.0,1.0,0.7924459935502522,41.2,18.3,0.004079599691633745,0.0002774912463254197,0.0010076667116341283,0.0,0.0,0.0781171857583578,6.368673331236263,5.020956084253277,0.001132393508845889,10x10,10,10,0.5,0.0,corner
0.0007543563842773438,0.0034924909090909085,1.0,1.0,0.8013150620827046,39.9,18.4,0.004246847293368253,0.0006199362626231753,0.0009299596287336238,0.0,0.0,0.0775804379034103,5.957348403442592,4.294182110716778,0.0013835287676050652,10x10,10,10,0.5,0.01,corner
0.0061809301376342775,0.004180736363636363,1.0,1.0,0.7553921603260358,37.5,22.1,0.01036166650127064,0.007976155473749217,0.0007215412801258282,0.0,0.0,0.06951680392207503,6.606814663663572,4.39203825119955,0.00796327981551293,10x10,10,10,0.5,0.05,corner
0.0006940603256225586,0.0028413363636363635,1.0,1.0,0.8434356986572256,58.0,17.7,0.0035353966892589218,0.0006878829396509485,0.0005618068858087703,0.0,0.0,0.08155190693770444,7.3484692283495345,2.6476404589747453,0.0010936969544750597,10x10,10,10,0.7,0.0,corner
0.0007680177688598633,0.0029312818181818174,1.0,1.0,0.847682146877659,58.0,18.1,0.003699299587041681,0.0005000919129818884,0.0004387171351916218,0.0,0.0,0.06336781487662484,7.3484692283495345,2.6248809496813377,0.0007860743800909668,10x10,10,10,0.7,0.01,corner
0.0007629632949829101,0.002755127272727272,1.0,1.0,0.753495222247704,52.0,17.4,0.0035180905677101824,0.0003895216821438863,0.0007749931508095106,0.0,0.0,0.057043113574809845,6.0,4.5431266766402185,0.0009254680055175965,10x10,10,10,0.7,0.05,corner
0.00038475990295410155,0.0009513272727272725,1.0,1.0,0.8888038726147632,81.0,8.6,0.001336087175681374,0.00016965598050123546,0.00046139158034496367,0.0,0.0,0.024146702820050877,0.0,3.2,0.0005735112587235398,10x10,10,10,0.9,0.0,corner
0.0005159854888916015,0.001454572727272727,1.0,1.0,0.8770353922584041,77.6,12.3,0.0019705582161643285,0.00024574243256234723,0.0006079275403348005,0.0,0.0,0.06477010626506563,6.8,4.001249804748511,0.000782284415242291,10x10,10,10,0.9,0.01,corner
0.0004363536834716797,0.0014407818181818178,1.0,1.0,0.8075250598842029,72.5,12.6,0.0018771355016534972,0.0002379725050294719,0.0007138392753795351,0.0,0.0,0.0759759554788475,8.5,5.0039984012787215,0.0009425291255932519,10x10,10,10,0.9,0.05,corner
0.00011217594146728516,0.0,1.0,1.0,0.8100000000000002,81.0,0.0,0.00011217594146728516,0.0001380631433232171,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0001380631433232171,10x10,10,10,1.0,0.0,corner
5.252361297607422e-05,0.0,1.0,1.0,0.8100000000000002,81.0,0.0,5.252361297607422e-05,1.3026493865099415e-05,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,1.3026493865099415e-05,10x10,10,10,1.0,0.01,corner
4.622936248779297e-05,0.0,1.0,1.0,0.8100000000000002,81.0,0.0,4.622936248779297e-05,2.3200222697055975e-06,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,2.3200222697055975e-06,10x10,10,10,1.0,0.05,corner
0.0013566732406616211,0.019491036363636364,1.0,1.0,0.910712469044863,104.2,47.4,0.020847709604297986,0.0005293767342344507,0.000860150649115348,0.0,0.0,0.0397987303419593,8.399999999999999,2.244994432064365,0.0013134697164049968,20x20,20,20,0.3,0.0,corner
0.001120305061340332,0.018935927272727273,1.0,1.0,0.8227407092363705,98.3,48.2,0.020056232334067607,0.00023213744542755084,0.0015809375170218684,0.0,0.0,0.03851083062626343,10.649413129370087,4.142463035441596,0.0016373220961651176,20x20,20,20,0.3,0.01,corner
0.0011602163314819336,0.019586700000000002,1.0,1.0,0.7871346028902263,90.5,51.7,0.020746916331481936,0.00020249012318228544,0.002191751418631769,0.0,0.0,0.0450961367760319,9.5,3.848376280978772,0.002180744860073421,20x20,20,20,0.3,0.05,corner
0.0011551618576049806,0.01670592727272727,1.0,1.0,0.872860522818206,174.4,48.2,0.01786108913033225,0.0003303072962557772,0.0015785518872772084,0.0,0.0,0.04053675557183989,10.8,7.9473265945222105,0.001748915924860295,20x20,20,20,0.5,0.0,corner
0.0010898590087890625,0.016149772727272728,1.0,1.0,0.856253800672633,169.2,47.5,0.01723963173606179,0.00029350736647720154,0.0017786666527402593,0.0,0.0,0.033530841663401464,11.634431657799189,6.2008063991709985,0.001971484265281421,20x20,20,20,0.5,0.01,corner
